type,prix,surface,quartier,date,adresse
Appartement,200000.0,21.0,Toulon,2024-01-22,CHE DE PLAISANCE
Maison,480000.0,88.0,Toulon,2024-01-11,RUE DE SAINT QUENTIN
Maison,353140.0,78.0,Toulon,2024-01-12,CHE BEAU SITE VALBERTRAND
Appartement,100000.0,79.0,Toulon,2024-01-16,AV DU 15E CORPS
Appartement,231550.0,58.0,Toulon,2024-01-18,RUE MUIRON
Appartement,140000.0,46.0,Toulon,2024-01-04,RUE MIRABEAU
Maison,712600.0,167.0,Toulon,2024-01-02,TRA DE LA BEAUCAIRE
Maison,712600.0,167.0,Toulon,2024-01-02,TRA DE LA BEAUCAIRE
Appartement,135000.0,56.0,Toulon,2024-01-10,PL MARIE CURIE
Appartement,355270.0,73.0,Toulon,2024-01-18,AV DE LA RESISTANCE
Appartement,115000.0,62.0,Toulon,2024-01-18,RUE DU ROI RENE
Maison,250000.0,70.0,Toulon,2024-01-05,RUE DES BONNETTES
Appartement,354000.0,85.0,Toulon,2024-01-11,IMP DU CAP
Appartement,75000.0,21.0,Toulon,2024-01-18,RUE BEAUSSIER
Appartement,260000.0,71.0,Toulon,2024-01-08,AV COLBERT
Appartement,121000.0,67.0,Toulon,2024-01-03,BD MARECHAL JOFFRE
Appartement,106000.0,54.0,Toulon,2024-01-19,RUE FELIX MAYOL
Appartement,112000.0,30.0,Toulon,2024-01-12,CHE DE LA CHARTREUSE
Appartement,127000.0,41.0,Toulon,2024-01-19,RUE AMIRAL NOMY
Appartement,137000.0,68.0,Toulon,2024-01-18,CHE DE FORGENTIER
Appartement,305000.0,88.0,Toulon,2024-01-18,RUE DES OLIVIERS
Appartement,113000.0,49.0,Toulon,2024-01-05,RUE MARC ET YVONNE BARON
Appartement,240000.0,132.0,Toulon,2024-01-22,RUE VICTOR REYMONENQ
Maison,480335.0,94.0,Toulon,2024-01-08,IMP DE LA SARIETTE
Appartement,81500.0,57.0,Toulon,2024-01-15,AV MARCEL CASTIE
Appartement,137000.0,50.0,Toulon,2024-01-18,RUE DU COMISSAIRE MORANDIN
Appartement,79000.0,22.0,Toulon,2024-01-18,CRS LAFAYETTE
Appartement,105000.0,49.0,Toulon,2024-01-16,RUE MARC ET YVONNE BARON
Appartement,131500.0,60.0,Toulon,2024-01-24,RUE ESPANET
Appartement,56300.0,17.0,Toulon,2024-01-15,RUE HONORE
Appartement,125000.0,56.0,Toulon,2024-01-15,AV DOCTEUR FONTAN
Appartement,150000.0,57.0,Toulon,2024-01-22,AV DUSSAP
Appartement,29000.0,11.0,Toulon,2024-01-18,RUE MARQUETAS
Appartement,104000.0,57.0,Toulon,2024-01-18,RUE LAMARTINE
Appartement,129500.0,62.0,Toulon,2024-01-12,CHE DU PONT DE BOIS
Appartement,108000.0,23.0,Toulon,2024-01-05,RUE SUFFREN
Appartement,112000.0,60.0,Toulon,2024-01-22,IMP REGIMBAUD
Appartement,15000.0,84.0,Toulon,2024-01-23,IMP PHILIP
Appartement,57000.0,21.0,Toulon,2024-01-23,AV LOUIS MICHEL VAN LOO
Appartement,180000.0,63.0,Toulon,2024-01-25,ALT 100
Appartement,65000.0,33.0,Toulon,2024-01-17,RUE VICTOR CLAPPIER
Maison,237000.0,64.0,Toulon,2024-01-23,CHE DES ANTILLES
Appartement,150000.0,39.0,Toulon,2024-01-24,BD DES ACACIAS
Appartement,115000.0,68.0,Toulon,2024-01-22,ALL DU DOCTEUR LAURES
Appartement,389000.0,80.0,Toulon,2024-01-15,BD EUGENE PELLETAN
Appartement,389000.0,75.0,Toulon,2024-01-19,AV DE LA PIVOTTE
Appartement,239500.0,62.0,Toulon,2024-01-08,AV EDOUARD LE BELLEGOU
Appartement,195000.0,60.0,Toulon,2024-01-08,RUE D ALEP
Appartement,226000.0,86.0,Toulon,2024-01-11,BD INGENIEUR BONNIER
Appartement,84000.0,40.0,Toulon,2024-01-18,RUE BERTHIER
Appartement,128000.0,64.0,Toulon,2024-01-11,AV DU 1ER BATAILLON CHOC
Appartement,129000.0,63.0,Toulon,2024-01-23,RUE CHEVALIER P CASSINE
Appartement,330000.0,57.0,Toulon,2024-01-18,RUE DE LA BRISE
Appartement,182000.0,31.0,Toulon,2024-01-18,CHE DU TEMPLE
Appartement,182000.0,31.0,Toulon,2024-01-18,CHE DU TEMPLE
Appartement,204120.0,63.0,Toulon,2024-01-09,AV D ENTRECASTEAUX
Appartement,245000.0,70.0,Toulon,2024-01-29,AV DES SOURCES
Appartement,132320.0,40.0,Toulon,2024-01-24,RUE GUILLAUME PONTEIL
Appartement,132320.0,40.0,Toulon,2024-01-24,RUE GUILLAUME PONTEIL
Appartement,82500.0,68.0,Toulon,2024-01-19,RUE ANDRE BLONDEL
Appartement,137700.0,56.0,Toulon,2024-01-26,CHE DU PONT DE BOIS
Appartement,60000.0,42.0,Toulon,2024-01-25,RUE SAGNES
Appartement,205260.0,68.0,Toulon,2024-01-25,BD DU DOCTEUR CUNEO
Appartement,580000.0,36.0,Toulon,2024-01-26,RUE JEAN DUVILLE
Appartement,580000.0,102.0,Toulon,2024-01-26,RUE JEAN DUVILLE
Appartement,90000.0,74.0,Toulon,2024-01-17,AV DU 15E CORPS
Appartement,725000.0,40.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,40.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,27.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,40.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,26.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,23.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,40.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,725000.0,23.0,Toulon,2024-01-25,RUE POMME DE PIN
Appartement,200000.0,62.0,Toulon,2024-01-23,RUE GENERAL MICHEL AUDEOUD
Appartement,175750.0,64.0,Toulon,2024-01-05,BD ALPHAND
Appartement,142000.0,45.0,Toulon,2024-01-24,RUE MICHEL BONNUS
Appartement,170000.0,80.0,Toulon,2024-01-24,RUE ROSSINI
Appartement,121700.0,43.0,Toulon,2024-01-30,AV JOSEPH GASQUET
Maison,408090.0,83.0,Toulon,2024-01-23,IMP DES COLOMBES
Appartement,245000.0,40.0,Toulon,2024-01-19,AV DES MOULINS
Appartement,150000.0,70.0,Toulon,2024-01-23,AV GENERAL GOURAUD
Appartement,192800.0,77.0,Toulon,2024-01-25,BD DES ARMARIS
Maison,305000.0,97.0,Toulon,2024-01-25,AV FORBIN
Appartement,334000.0,132.0,Toulon,2024-01-24,BD DOCTEUR CHARLES BARNIER
Appartement,115000.0,50.0,Toulon,2024-01-30,BD GENERAL BROSSET
Maison,315000.0,60.0,Toulon,2024-01-26,CHE DE BLIDA
Appartement,95000.0,51.0,Toulon,2024-01-26,BD MARECHAL JOFFRE
Appartement,141000.0,65.0,Toulon,2024-01-25,RUE EMILE OLLIVIER
Appartement,148000.0,36.0,Toulon,2024-01-22,RUE DU HARAS
Appartement,130000.0,67.0,Toulon,2024-01-25,RUE DANIEL BERTHELOT
Appartement,262000.0,84.0,Toulon,2024-01-16,CHE DE LA CHARTREUSE
Appartement,74850.0,35.0,Toulon,2024-01-19,RUE SAINTE ELISABETH
Appartement,347000.0,69.0,Toulon,2024-02-01,AV DU PORT DE PLAISANCE
Maison,297000.0,74.0,Toulon,2024-01-11,CHE DU VAL D AIGUES
Appartement,132000.0,80.0,Toulon,2024-01-29,AV DE L ELYSEE
Appartement,273500.0,74.0,Toulon,2024-01-10,RUE PDT ROBERT SCHUMAN
Appartement,281866.0,58.0,Toulon,2024-01-12,RUE SAINTE ROSELINE
Appartement,281866.0,67.0,Toulon,2024-01-12,RUE SAINTE ROSELINE
Appartement,115000.0,60.0,Toulon,2024-01-03,CHE DU JONQUET
Appartement,135000.0,66.0,Toulon,2024-01-15,RUE DES ORMEAUX
Appartement,94288.0,85.0,Toulon,2024-01-29,RUE VICTOR REYMONENQ
Appartement,65000.0,45.0,Toulon,2024-01-10,RUE COLOMB BECHAR
Appartement,450310.0,75.0,Toulon,2024-01-19,ALL DES LAURIERS ROSES
Appartement,161950.0,76.0,Toulon,2024-02-02,CHE DE FORGENTIER
Appartement,70000.0,56.0,Toulon,2024-02-02,RUE JEAN MALLARD
Appartement,235000.0,70.0,Toulon,2024-02-05,AV JOSEPH LOUIS ORTOLAN
Appartement,56500.0,18.0,Toulon,2024-01-31,FOYER PROVENCAL
Appartement,127000.0,44.0,Toulon,2024-01-18,RUE DELPECH
Appartement,50000.0,90.0,Toulon,2024-01-30,BD FLAMENQ
Appartement,66000.0,68.0,Toulon,2024-01-19,AV ARISTIDE BRIAND
Appartement,1225000.0,80.0,Toulon,2024-01-16,AV LOUIS SOREL
Appartement,1225000.0,80.0,Toulon,2024-01-16,AV LOUIS SOREL
Appartement,75000.0,57.0,Toulon,2024-01-19,AV CLOVIS HUGUES
Maison,541000.0,105.0,Toulon,2024-01-26,IMP DESPREZ
Maison,673501.0,132.0,Toulon,2024-01-15,RUE LOUIS FERRAND
Maison,996250.0,148.0,Toulon,2024-01-15,RUE ERNEST RENAN
Maison,550000.0,35.0,Toulon,2024-01-22,RUE DES OLIVIERS
Maison,550000.0,94.0,Toulon,2024-01-22,RUE DES OLIVIERS
Appartement,218400.0,46.0,Toulon,2024-02-05,RUE JOSEPHINE
Appartement,93550.0,24.0,Toulon,2024-02-01,RUE DE LA GLACIERE
Appartement,27000.0,10.0,Toulon,2024-01-18,RUE F PELLOUTIER
Appartement,54000.0,23.0,Toulon,2024-01-15,RTE DE PLAISANCE
Appartement,95000.0,54.0,Toulon,2024-01-22,RUE AMIRAL NOMY
Appartement,311246.0,86.0,Toulon,2024-01-18,COR MARIUS ESCARTEFIGUE
Maison,439800.0,123.0,Toulon,2024-01-15,AV GENERAL BRIERE DE L ISLE
Appartement,148000.0,49.0,Toulon,2024-01-16,AV LAZARE CARNOT
Maison,500000.0,120.0,Toulon,2024-01-15,RUE GROIGNARD
Appartement,100000.0,79.0,Toulon,2024-01-27,AV DU 1ER BATAILLON CHOC
Appartement,180200.0,52.0,Toulon,2024-02-05,IMP ARBOUSIERS
Appartement,180200.0,52.0,Toulon,2024-02-05,IMP ARBOUSIERS
Appartement,180200.0,33.0,Toulon,2024-02-05,IMP ARBOUSIERS
Appartement,180200.0,33.0,Toulon,2024-02-05,IMP ARBOUSIERS
Appartement,225000.0,69.0,Toulon,2024-01-16,AV LOUIS BARTHOU
Appartement,82500.0,48.0,Toulon,2024-01-12,CHE DU BEAL
Appartement,321000.0,145.0,Toulon,2024-02-05,RUE PICOT
Appartement,75000.0,20.0,Toulon,2024-01-29,RUE GARIBALDI
Appartement,100000.0,50.0,Toulon,2024-01-26,AV COLONEL PICOT
Appartement,121000.0,58.0,Toulon,2024-01-18,RUE PEYRE FERRY
Appartement,155350.0,46.0,Toulon,2024-01-26,BD DELESCLUZE
Appartement,143000.0,56.0,Toulon,2024-02-09,AV FRANKLIN ROOSEVELT
Appartement,165000.0,82.0,Toulon,2024-01-24,AV ARISTIDE BRIAND
Appartement,330400.0,63.0,Toulon,2024-01-18,AV CLAUDE FARRERE
Appartement,219000.0,86.0,Toulon,2024-02-08,BD INGENIEUR BONNIER
Appartement,244600.0,77.0,Toulon,2024-02-08,RUE DU LT HENRI LACROIX
Maison,356454.0,100.0,Toulon,2024-02-05,QUAI COMMANDANT RIVIERE
Maison,380000.0,80.0,Toulon,2024-02-02,RUE BAUDELAIRE
Appartement,570000.0,30.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,34.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,34.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,66.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,66.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,30.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Appartement,570000.0,34.0,Toulon,2024-01-16,RUE CHEVALIER PAUL
Maison,410000.0,78.0,Toulon,2024-01-18,AV DE L ELISA
Appartement,67000.0,22.0,Toulon,2024-01-29,RUE JEAN TRINCHERO
Appartement,265000.0,45.0,Toulon,2024-02-01,RUE DUPLESSIS OLLIVAULT
Appartement,265000.0,52.0,Toulon,2024-02-01,RUE DUPLESSIS OLLIVAULT
Appartement,158300.0,61.0,Toulon,2024-02-01,AV FRANCOIS CUZIN
Appartement,140000.0,60.0,Toulon,2024-01-25,EUROPE
Appartement,485000.0,80.0,Toulon,2024-02-05,AV JOSEPH LOUIS ORTOLAN
Appartement,177300.0,39.0,Toulon,2024-01-17,CHE DE LA BARRE
Appartement,73500.0,26.0,Toulon,2024-02-02,RUE JEAN TRINCHERO
Appartement,515000.0,83.0,Toulon,2024-01-30,RUE VICTOR GENSOLLEN
Appartement,108000.0,33.0,Toulon,2024-02-09,BD EUGENE PELLETAN
Appartement,183200.0,73.0,Toulon,2024-02-06,AV JOSEPH LOUIS ORTOLAN
Appartement,66000.0,14.0,Toulon,2024-01-18,BD BAZEILLES
Appartement,100000.0,66.0,Toulon,2024-01-31,RUE COULMIER
Appartement,128000.0,68.0,Toulon,2024-01-23,BD DOCTEUR FRANCOIS FENELON
Appartement,79500.0,54.0,Toulon,2024-02-02,PL MARTIN BIDOURE
Appartement,88000.0,30.0,Toulon,2024-02-08,RUE AUGUSTIN DAUMAS
Maison,214600.0,56.0,Toulon,2024-01-31,RUE DU DAHOMEY
Maison,276000.0,85.0,Toulon,2024-01-23,CHE DE L ORATOIRE
Appartement,153000.0,56.0,Toulon,2024-02-02,QUAI RIVIERE NEUVE
Maison,285000.0,68.0,Toulon,2024-01-15,IMP BIDON
Appartement,100000.0,46.0,Toulon,2024-02-06,RUE SAINTE GERMAINE
Appartement,95000.0,18.0,Toulon,2024-02-01,RUE SAINTE MARTHE
Appartement,95000.0,25.0,Toulon,2024-02-01,RUE SAINTE MARTHE
Appartement,95000.0,28.0,Toulon,2024-02-01,RUE SAINTE MARTHE
Appartement,90000.0,57.0,Toulon,2024-01-30,LE CHAMBORD
Appartement,1137600.0,50.0,Toulon,2024-02-08,AV ANDRE LE CHATELIER
Appartement,1137600.0,60.0,Toulon,2024-02-08,AV ANDRE LE CHATELIER
Appartement,1137600.0,60.0,Toulon,2024-02-08,AV ANDRE LE CHATELIER
Appartement,1137600.0,50.0,Toulon,2024-02-08,AV ANDRE LE CHATELIER
Appartement,42000.0,32.0,Toulon,2024-02-12,RUE JEAN JAURES
Appartement,195000.0,37.0,Toulon,2024-01-16,BD BAZEILLES
Appartement,80000.0,26.0,Toulon,2024-02-13,QUAI MARMORA
Appartement,338000.0,56.0,Toulon,2024-01-15,BD EUGENE PELLETAN
Appartement,92000.0,22.0,Toulon,2024-01-19,RUE CASTILLON
Appartement,66300.0,68.0,Toulon,2024-01-31,LES MONIQUES
Appartement,92000.0,55.0,Toulon,2024-02-01,RUE DU JEU DE PAUME
Appartement,150000.0,62.0,Toulon,2024-01-31,RUE DU VELODROME
Appartement,120000.0,71.0,Toulon,2024-02-13,RTE DE PLAISANCE
Appartement,220000.0,74.0,Toulon,2024-02-08,RUE LIEUTENANT JOSEPH ANDRE
Appartement,64000.0,28.0,Toulon,2024-02-07,AV DU 1ER BATAILLON CHOC
Appartement,150000.0,78.0,Toulon,2024-02-12,RUE PAUL ARENE
Maison,330000.0,69.0,Toulon,2024-02-13,BD JEAN BAPTISTE ABEL
Appartement,93500.0,45.0,Toulon,2024-02-12,CHE DE PLAISANCE
Appartement,198000.0,54.0,Toulon,2024-02-13,AV MARCEAU
Appartement,150000.0,62.0,Toulon,2024-02-02,RUE DU LT ANDRE FOURNIER
Maison,677000.0,106.0,Toulon,2024-02-09,AV ERNEST ROLLER
Appartement,128000.0,34.0,Toulon,2024-01-31,RUE CASTEL
Appartement,28000.0,77.0,Toulon,2024-02-09,RUE DEJUSSIEU PONTCARRAL
Maison,251827.17,56.0,Toulon,2024-01-31,RUE DU DAHOMEY
Appartement,230000.0,61.0,Toulon,2024-02-01,AV DE CLARET
Appartement,217300.0,50.0,Toulon,2024-02-09,RUE AMIRAL DUMESNIL
Appartement,177400.0,53.0,Toulon,2024-01-23,ALL DU DOCTEUR LAURES
Appartement,257500.0,62.0,Toulon,2024-02-01,CHE DES BONNES HERBES
Appartement,210000.0,41.0,Toulon,2024-02-08,RUE DES RIAUX
Appartement,210000.0,14.0,Toulon,2024-02-08,RUE DES RIAUX
Appartement,210000.0,41.0,Toulon,2024-02-08,RUE DES RIAUX
Appartement,210000.0,41.0,Toulon,2024-02-08,RUE DES RIAUX
Appartement,210000.0,30.0,Toulon,2024-02-08,RUE DES RIAUX
Appartement,299750.0,107.0,Toulon,2024-02-02,AV DU MARECHAL FOCH
Appartement,199000.0,60.0,Toulon,2024-02-07,BD ENSEIGNE DE VAISSEAU GUES
Appartement,305000.0,113.0,Toulon,2024-02-12,RUE PEIRESC
Appartement,135000.0,78.0,Toulon,2024-02-05,RUE PAUL ARENE
Appartement,248000.0,75.0,Toulon,2024-01-30,RUE GIMELLI
Appartement,167000.0,67.0,Toulon,2024-02-02,AV MARECHAL LYAUTEY
Appartement,99000.0,46.0,Toulon,2024-02-05,RUE NICOLAS LAUGIER
Appartement,121100.0,53.0,Toulon,2024-01-30,RUE LIEUTENANT JOSEPH ANDRE
Appartement,240000.0,67.0,Toulon,2024-02-05,AV DE LA RESISTANCE
Appartement,102440.0,35.0,Toulon,2024-01-30,CRS LAFAYETTE
Appartement,20000.0,56.0,Toulon,2024-02-08,RUE DEJUSSIEU PONTCARRAL
Maison,305000.0,200.0,Toulon,2024-02-13,CHE DE LA CLAPIERE
Maison,305000.0,200.0,Toulon,2024-02-13,CHE DE LA CLAPIERE
Appartement,105000.0,65.0,Toulon,2024-02-12,AV FRANCOIS CUZIN
Appartement,54000.0,28.0,Toulon,2024-02-12,RUE MARCEL SEMBAT
Maison,385200.0,83.0,Toulon,2024-02-16,RUE DU GABON
Appartement,142500.0,72.0,Toulon,2024-02-01,IMP BARNIER
Appartement,138600.0,42.0,Toulon,2024-01-31,AV FORBIN
Appartement,70000.0,27.0,Toulon,2024-02-19,TRA DE L HOPITAL
Appartement,86000.0,64.0,Toulon,2024-02-06,AV FRANCOIS CUZIN
Appartement,86000.0,64.0,Toulon,2024-02-06,AV FRANCOIS CUZIN
Maison,410000.0,111.0,Toulon,2024-02-08,IMP RIGOUMEL
Appartement,235000.0,71.0,Toulon,2024-02-19,LA TOUR D'IVOIRE
Appartement,140250.0,69.0,Toulon,2024-01-30,RUE MADEMOISELLE STRASSEL
Appartement,400000.0,112.0,Toulon,2024-01-30,AV CLAUDE FARRERE
Appartement,500000.0,84.0,Toulon,2024-02-16,BD DU DOCTEUR CUNEO
Appartement,195500.0,92.0,Toulon,2024-02-20,AV GEORGES CLEMENCEAU
Appartement,157000.0,76.0,Toulon,2024-02-16,AV D ENTRECASTEAUX
Appartement,90000.0,44.0,Toulon,2024-02-16,RUE DE L ETOILE
Appartement,181000.0,49.0,Toulon,2024-02-15,RUE LAMALGUE
Appartement,103000.0,31.0,Toulon,2024-02-02,AV DE LA ROSERAIE
Appartement,169000.0,60.0,Toulon,2024-02-16,ALL GEORGES LEYGUES
Maison,320000.0,69.0,Toulon,2024-02-14,RUE ALEXIS AGARRAT
Appartement,1055000.0,111.0,Toulon,2024-02-15,COR MARIUS ESCARTEFIGUE
Appartement,1055000.0,122.0,Toulon,2024-02-15,COR MARIUS ESCARTEFIGUE
Appartement,1055000.0,111.0,Toulon,2024-02-15,COR MARIUS ESCARTEFIGUE
Appartement,159000.0,59.0,Toulon,2024-02-09,AV PHILIPPE LEBON
Appartement,298000.0,57.0,Toulon,2024-02-06,BD JEAN BAPTISTE ABEL
Appartement,180000.0,70.0,Toulon,2024-02-09,RUE ANDRE CHENIER
Appartement,165100.0,62.0,Toulon,2024-01-22,BD DE PARIS
Appartement,176000.0,42.0,Toulon,2024-02-16,RUE DANTON
Maison,358000.0,64.0,Toulon,2024-02-20,AV DE VERDUN
Appartement,208000.0,102.0,Toulon,2024-02-12,AV EMILE VINCENT
Appartement,167661.0,70.0,Toulon,2024-02-22,AV VERT COTEAU
Appartement,60000.0,15.0,Toulon,2024-02-23,RUE DU DOCTEUR BARROIS
Appartement,82000.0,38.0,Toulon,2024-02-22,BD DE TESSE
Maison,300000.0,146.0,Toulon,2024-02-05,RUE REVEST
Appartement,124000.0,32.0,Toulon,2024-02-02,AV DES ROUTES
Appartement,59000.0,40.0,Toulon,2024-02-20,RUE D ISLY
Appartement,225000.0,69.0,Toulon,2024-02-23,AV DU PORT DE PLAISANCE
Appartement,202000.0,65.0,Toulon,2024-02-19,BD DU 11 NOVEMBRE 1918
Appartement,140000.0,68.0,Toulon,2024-02-12,AV DU MARECHAL FOCH
Appartement,150000.0,66.0,Toulon,2024-02-15,IMP BRUNO
Appartement,37000.0,16.0,Toulon,2024-02-05,AV MARCEL CASTIE
Maison,360000.0,49.0,Toulon,2024-02-02,CHE DU PELICAN
Appartement,120000.0,62.0,Toulon,2024-02-16,CHE DE RIGOUMEL
Appartement,157000.0,33.0,Toulon,2024-02-13,RUE DANIELLE CASANOVA
Appartement,107500.0,50.0,Toulon,2024-02-07,BD ALATA
Appartement,141500.0,71.0,Toulon,2024-01-11,RUE DU LT ANDRE FOURNIER
Appartement,450400.0,58.0,Toulon,2024-02-23,AV DES SOURCES
Appartement,450400.0,41.0,Toulon,2024-02-23,AV DES SOURCES
Appartement,109000.0,62.0,Toulon,2024-02-08,BD BEAUMARCHAIS
Appartement,145000.0,57.0,Toulon,2024-02-23,AV FRANCOIS NARDI
Appartement,162500.0,67.0,Toulon,2024-02-19,AV DU 15E CORPS
Appartement,346850.0,97.0,Toulon,2024-02-15,RUE VICTOR CLAPPIER
Appartement,150000.0,64.0,Toulon,2024-01-31,QUAI RIVIERE NEUVE
Appartement,41175.0,11.0,Toulon,2024-02-21,RUE DU BON PASTEUR
Maison,310000.0,57.0,Toulon,2024-02-21,RUE GAY LUSSAC
Appartement,92000.0,54.0,Toulon,2024-02-07,VERTE RIVIERE L HERMINIER
Appartement,146000.0,71.0,Toulon,2024-02-22,AV FORBIN
Appartement,141000.0,68.0,Toulon,2024-01-31,AV JOSEPH GASQUET
Appartement,210000.0,62.0,Toulon,2024-02-20,RUE JEAN JAURES
Appartement,182000.0,62.0,Toulon,2024-02-07,RUE DAVID
Appartement,103000.0,43.0,Toulon,2024-02-19,BD LEON BOURGEOIS
Appartement,82710.0,31.0,Toulon,2024-02-21,AV MARCEL CASTIE
Maison,375000.0,85.0,Toulon,2024-02-15,AV DE VERDUN
Appartement,167000.0,58.0,Toulon,2024-02-06,AV FRANKLIN ROOSEVELT
Appartement,54000.0,28.0,Toulon,2024-02-15,RUE GIMELLI
Appartement,127050.0,62.0,Toulon,2024-02-02,AV EDOUARD LE BELLEGOU
Appartement,141750.0,68.0,Toulon,2024-02-20,AV AUGUSTE BERTHON
Appartement,155000.0,66.0,Toulon,2024-02-19,RUE DARIUS MILHAUD
Appartement,137000.0,40.0,Toulon,2024-02-16,AV MARCEL CASTIE
Appartement,243960.0,60.0,Toulon,2024-01-30,RUE LACORDAIRE
Appartement,100916.27,44.0,Toulon,2024-02-02,AV NOBEL
Appartement,142500.0,70.0,Toulon,2024-02-09,AV EMILE BARLA
Appartement,140000.0,53.0,Toulon,2024-02-26,AV DE L ELISA
Appartement,62000.0,23.0,Toulon,2024-02-05,RUE DE NICE
Appartement,231150.0,65.0,Toulon,2024-02-23,COR MARIUS ESCARTEFIGUE
Appartement,80000.0,50.0,Toulon,2024-02-23,RUE DE LA DARSE
Appartement,114350.0,30.0,Toulon,2024-02-27,AV JOSEPH LOUIS ORTOLAN
